strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,default,18191.94,81.9194,0.6997,129,37.21,1.2065,25.44,0.8904,117.1
TSMOM,NEARUSDC,default,18017.33,80.1733,0.6848,181,41.44,1.1074,36.8,0.8148,117.1
TSMOM,AVAXUSDC,default,15802.87,58.0287,0.4957,208,41.83,1.0801,32.49,0.7074,117.1
VolBreakoutMom,XRPUSDC,default,12872.41,28.7241,0.2454,120,33.33,1.1123,37.03,0.5073,117.1
BTCResidualMR,BNBUSDC,default,12457.99,24.5799,0.21,61,54.1,1.2534,17.32,0.8654,117.1
TSMOM,ADAUSDC,default,12019.96,20.1996,0.1725,188,41.49,1.0431,38.15,0.3863,117.1
TSMOM,BNBUSDC,default,11591.06,15.9106,0.1359,202,41.58,1.0466,32.06,0.373,117.1
TSMOM,ETHUSDC,default,11542.63,15.4263,0.1318,192,41.67,1.0407,36.75,0.3485,117.1
TSMOM,DOGEUSDC,default,10832.63,8.3263,0.0711,138,38.41,1.0286,35.92,0.2735,117.1
VolBreakoutMom,ADAUSDC,default,10383.41,3.8341,0.0328,99,32.32,1.0176,35.75,0.1925,117.1
VolBreakoutMom,BTCUSDC,default,10131.03,1.3103,0.0112,117,34.19,1.0101,21.12,0.1561,117.1
BTCResidualMR,ADAUSDC,default,10083.7,0.837,0.0071,88,53.41,1.004,30.25,0.1609,117.1
TSMOM,SOLUSDC,default,10027.91,0.2791,0.0024,221,42.99,1.0006,37.91,0.2013,117.1
WeekendGapFade,ETHUSDC,default,9701.16,-2.9884,-0.0255,17,41.18,0.8823,13.96,-0.1207,117.1
VolBreakoutMom,SOLUSDC,default,9685.59,-3.1441,-0.0269,98,31.63,0.9852,36.76,0.0841,117.1
TSMOM,XRPUSDC,default,9519.6,-4.804,-0.041,147,37.41,0.9819,36.33,0.0794,117.1
VolBreakoutMom,NEARUSDC,default,9338.96,-6.6104,-0.0565,84,28.57,0.9702,35.92,0.0343,117.1
BTCResidualMR,XRPUSDC,default,9246.64,-7.5336,-0.0644,66,53.03,0.9433,30.78,-0.0829,117.1
WeekendGapFade,NEARUSDC,default,9166.76,-8.3324,-0.0712,19,42.11,0.7763,18.06,-0.357,117.1
WeekendGapFade,BNBUSDC,default,9050.16,-9.4984,-0.0811,23,34.78,0.619,17.66,-0.6301,117.1
VolBreakoutMom,BNBUSDC,default,8947.19,-10.5281,-0.0899,108,32.41,0.9212,32.0,-0.2046,117.1
WeekendGapFade,DOGEUSDC,default,8821.05,-11.7895,-0.1007,24,37.5,0.7039,19.33,-0.4824,117.1
MeanRevLowVol,BNBUSDC,default,8657.01,-13.4299,-0.1147,45,53.33,0.7809,30.54,-0.5138,117.1
TSMOM,BTCUSDC,default,8525.47,-14.7453,-0.126,176,40.34,0.943,37.82,-0.1767,117.1
WeekendGapFade,ADAUSDC,default,8388.67,-16.1133,-0.1376,29,41.38,0.6297,17.59,-0.7036,117.1
WeekendGapFade,XRPUSDC,default,8304.23,-16.9577,-0.1448,15,33.33,0.4768,26.85,-0.8661,117.1
WeekendGapFade,BTCUSDC,default,8189.02,-18.1098,-0.1547,20,25.0,0.2949,24.54,-1.4049,117.1
WeekendGapFade,AVAXUSDC,default,8034.45,-19.6555,-0.1679,20,25.0,0.5168,27.36,-0.8316,117.1
BTCResidualMR,ETHUSDC,default,7926.0,-20.74,-0.1772,73,46.58,0.858,28.47,-0.3836,117.1
VolBreakoutMom,ETHUSDC,default,7673.11,-23.2689,-0.1988,60,30.0,0.7513,38.46,-0.6979,117.1
BTCResidualMR,SOLUSDC,default,7437.67,-25.6233,-0.2189,23,39.13,0.6143,38.15,-0.6456,117.1
VolBreakoutMom,AVAXUSDC,default,7360.21,-26.3979,-0.2255,88,28.41,0.8448,35.21,-0.4127,117.1
MeanRevLowVol,XRPUSDC,default,7256.85,-27.4315,-0.2343,35,48.57,0.6121,35.92,-0.8038,117.1
MeanRevLowVol,DOGEUSDC,default,7239.1,-27.609,-0.2358,31,45.16,0.6067,36.68,-0.8266,117.1
MeanRevLowVol,ETHUSDC,default,7198.21,-28.0179,-0.2393,38,42.11,0.5805,31.48,-0.9272,117.1
BTCResidualMR,AVAXUSDC,default,6964.35,-30.3565,-0.2593,68,45.59,0.7978,36.0,-0.6324,117.1
WeekendGapFade,SOLUSDC,default,6961.52,-30.3848,-0.2595,22,31.82,0.3308,35.16,-1.391,117.1
BTCResidualMR,DOGEUSDC,default,6860.73,-31.3927,-0.2682,78,46.15,0.7974,36.41,-0.577,117.1
MeanRevLowVol,NEARUSDC,default,6544.05,-34.5595,-0.2952,21,33.33,0.4216,38.54,-1.2156,117.1
MeanRevLowVol,BTCUSDC,default,6530.48,-34.6952,-0.2964,40,32.5,0.393,35.81,-1.8472,117.1
MeanRevLowVol,ADAUSDC,default,6488.53,-35.1147,-0.2999,28,35.71,0.4607,36.62,-1.1541,117.1
MeanRevLowVol,SOLUSDC,default,6462.77,-35.3723,-0.3021,30,36.67,0.4536,35.37,-1.0213,117.1
MeanRevLowVol,AVAXUSDC,default,6442.93,-35.5707,-0.3038,37,45.95,0.6013,38.43,-0.9432,117.1
BTCResidualMR,NEARUSDC,default,6414.27,-35.8573,-0.3063,36,38.89,0.6011,38.13,-1.2235,117.1
