strategy,symbol,raw_full_wkly,raw_wf_avg,raw_wf_folds,raw_dd,raw_trades,raw_sharpe,regime_full_wkly,regime_wf_avg,regime_wf_folds,regime_dd,regime_trades,regime_sharpe,regime_risk_on_pct,full_full_wkly,full_wf_avg,full_wf_folds,full_dd,full_trades,full_sharpe,full_risk_on_pct,regime_improvement,full_improvement
AdaptChan,NEARUSDC,1.5768,1.1517,5,20.51,61,1.4327,0.8895,0.7424,5,19.89,50,1.075,47.9,0.3166,0.3022,4,16.56,18,0.6991,15.6,-0.4093,-0.8495
AdaptChan,SOLUSDC,0.8611,0.7023,5,22.84,76,1.222,0.72,0.631,3,17.28,59,1.1432,47.9,0.3142,0.258,4,11.6,28,0.9079,19.9,-0.0712,-0.4443
VolCapture,AVAXUSDC,1.236,0.8368,4,15.04,22,1.6901,1.0214,0.7294,4,17.85,18,1.6059,47.9,0.2007,0.206,3,15.33,8,0.7309,16.3,-0.1074,-0.6308
VolCapture,NEARUSDC,0.496,0.3584,3,27.85,28,0.9051,0.1497,0.0899,2,27.81,19,0.4359,47.9,0.1401,0.1465,2,11.08,6,0.5701,15.6,-0.2685,-0.2119
RegimeMomV2,XRPUSDC,0.9359,0.9912,3,23.9,60,1.1119,0.5703,0.6362,3,25.67,42,0.9467,47.9,0.2094,0.2444,2,17.36,14,0.6918,16.9,-0.355,-0.7468
MultiEdge,XRPUSDC,1.2588,0.8137,3,31.46,115,1.107,0.5973,0.7046,2,38.3,82,0.8875,47.9,0.3134,0.3541,2,36.35,41,0.7101,16.9,-0.1091,-0.4595
MultiEdge,DOGEUSDC,0.4597,0.4689,3,38.61,112,0.6151,0.5221,0.4178,3,39.38,105,0.6692,47.9,0.2436,0.2532,3,31.34,50,0.4769,17.6,-0.0511,-0.2158
MomAccel,AVAXUSDC,0.0474,0.0333,1,38.28,81,0.2372,-0.2799,-0.3706,1,42.02,58,-0.4366,47.9,-0.2585,-0.3512,0,35.85,21,-1.0976,16.3,-0.404,-0.3845
CrossPair,BTCUSDC,0.4573,0.3659,4,20.94,149,0.8649,0.2744,0.2579,4,22.75,126,0.6293,47.9,0.2744,0.2579,4,22.75,126,0.6293,47.9,-0.108,-0.108
CrossPair,AVAXUSDC,-0.1708,-0.1669,2,37.72,134,-0.0488,-0.1471,-0.0439,2,36.02,59,-0.1506,47.9,-0.0556,-0.0357,4,28.39,30,-0.0558,16.3,0.123,0.1312
VolBreakoutMom,XRPUSDC,1.7679,1.165,4,32.32,136,1.006,0.8345,0.7058,4,26.18,108,0.9257,47.9,0.5219,0.4159,5,26.27,58,0.7934,16.9,-0.4592,-0.7491
VolBreakoutMom,DOGEUSDC,2.1699,1.0496,3,27.56,111,1.2801,1.8185,0.9964,3,27.56,103,1.2971,47.9,1.3323,0.5686,4,23.05,57,1.2825,17.6,-0.0532,-0.481
TSMOM,ADAUSDC,1.1526,0.9409,4,26.68,148,1.0907,0.7826,0.6788,3,28.15,121,0.9239,47.9,0.4218,0.4205,3,19.13,45,0.899,12.5,-0.2621,-0.5203
TSMOM,SOLUSDC,1.0498,0.729,4,26.73,158,1.0114,1.2223,0.7805,4,20.85,130,1.1189,47.9,0.0911,0.0344,3,24.07,68,0.3005,19.9,0.0515,-0.6946
TSMOM,XRPUSDC,0.8907,0.4616,4,27.38,169,1.0589,0.7824,0.3936,2,25.74,130,1.0506,47.9,0.2276,0.1232,3,23.15,64,0.6843,16.9,-0.068,-0.3383
